                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0459,                 17.329,                 2.1271,                      0,                      0,                      0,                      0,                  3.108,                 9.8038,                 2.4438,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.0089,                 15.988,                 2.2154,                      0,                      0,                      0,                      0,                 3.0706,                  9.844,                 2.4218,               0.095495,             0.00049505,             0.00049505
                      2,                 3.4133,                 16.119,                 2.3003,                      0,                      0,                      0,                      0,                 3.0451,                 9.9552,                 2.4074,               0.092784,             0.00078416,             0.00078416
                      3,                 2.7471,                 10.321,                 2.0095,                0.03026,                0.04348,                0.00378,                0.00047,                 1.8225,                 5.9716,                 1.9252,               0.090067,              0.0010673,              0.0010673
                      4,                 1.9886,                  4.454,                 1.5483,                0.59314,                0.67391,                0.72233,                0.35246,                 1.5845,                  2.858,                 1.4966,               0.087345,              0.0013446,              0.0013446
                      5,                 1.3532,                 1.9796,                 1.2004,                0.90819,                0.86031,                0.95155,                0.56535,                  1.399,                 2.2532,                 1.3526,               0.084616,              0.0016158,              0.0016158
                      6,                  1.225,                 1.4338,                 1.1685,                0.97045,                0.93478,                0.98802,                 0.6308,                 1.2778,                 1.8449,                 1.2344,               0.081881,              0.0018812,              0.0018812
                      7,                 1.1807,                 1.0752,                 1.1039,                0.95654,                      1,                0.99159,                0.70373,                0.90255,                  1.368,                  1.105,               0.079141,              0.0021406,              0.0021406
                      8,                 1.0309,                0.99462,                  1.088,                0.97647,                      1,                  0.995,                 0.7493,                0.82771,                 2.0715,                 1.0362,               0.076394,              0.0023941,              0.0023941
                      9,                0.96347,                 1.2646,                 1.0272,                      1,                0.99602,                  0.995,                0.77216,                0.90182,                0.80809,                  1.032,               0.073642,              0.0026416,              0.0026416
                     10,                 1.0347,                 1.0879,                 1.0572,                0.99519,                      1,                  0.995,                0.69161,                 1.0755,                0.64286,                 1.0466,               0.070883,              0.0028832,              0.0028832
                     11,                 1.0477,                0.87862,                0.97342,                 0.9909,                      1,                  0.995,                0.76219,                0.86744,                0.96451,                 1.0143,               0.068119,              0.0031189,              0.0031189
                     12,                  1.005,                0.90062,                 1.0376,                0.99404,                      1,                  0.995,                0.77125,                0.75603,                 1.3629,                0.98721,               0.065349,              0.0033486,              0.0033486
                     13,                0.95281,                 1.0827,                 1.0702,                 0.9997,                      1,                  0.995,                0.66125,                 0.9829,                0.65603,                 1.0323,               0.062572,              0.0035723,              0.0035723
                     14,                0.99763,                 0.7607,                 1.0076,                0.99724,                      1,                  0.995,                0.58243,                 1.1933,                0.65443,                 1.1261,                0.05979,              0.0037902,              0.0037902
                     15,                 1.0915,                0.78692,                 1.0473,                0.99845,                      1,                  0.995,                0.68616,                 0.8962,                0.80295,                 1.0363,               0.057002,              0.0040021,              0.0040021
                     16,                 1.0793,                0.66561,                 1.0124,                 0.9186,                0.98137,                0.98843,                0.54767,                 1.2857,                 1.0301,                 1.1839,               0.054208,               0.004208,               0.004208
                     17,                 1.1457,                0.75946,                 1.0578,                0.99813,                      1,                  0.995,                0.69017,                0.94611,                0.68561,                 1.0726,               0.051408,               0.004408,               0.004408
                     18,                0.90766,                0.70023,                 1.0051,                0.99641,                      1,                  0.995,                0.72102,                0.88048,                 1.3693,                 1.1014,               0.048602,              0.0046021,              0.0046021
